Packet,Timestamp_sec,Timestamp_nsec,AnomalyType,Force,Position,Temperature
1,1748508084,545906000,PositionalError,10.628,5.405,25.170
2,1748508084,551679000,PositionalError,9.535,4.418,24.660
3,1748508084,556497000,PositionalError,10.452,4.395,24.870
4,1748508084,562216000,PositionalError,8.272,5.509,24.580
5,1748508084,566807000,PositionalError,11.355,4.216,24.678
6,1748508084,571402000,PositionalError,9.907,4.802,25.473
7,1748508084,577222000,PositionalError,8.551,4.691,25.481
8,1748508084,581831000,PositionalError,10.583,5.881,24.677
9,1748508084,586545000,PositionalError,11.256,4.639,25.055
10,1748508084,591228000,PositionalError,10.593,5.603,25.264
11,1748508084,596941000,PositionalError,8.017,4.196,25.104
12,1748508084,601527000,PositionalError,11.154,5.482,25.447
13,1748508084,606134000,PositionalError,10.074,4.097,24.770
14,1748508084,610824000,TempSpike,9.064,4.580,35.932
14,1748508084,610824000,PositionalError,9.064,4.580,35.932
15,1748508084,617125000,PositionalError,10.120,4.751,24.577
16,1748508084,621945000,TempSpike,9.454,5.439,35.395
16,1748508084,621945000,PositionalError,9.454,5.439,35.395
17,1748508084,626835000,PositionalError,10.545,5.980,25.109
18,1748508084,631870000,PositionalError,10.926,4.384,24.817
19,1748508084,636746000,PositionalError,10.907,5.543,24.614
20,1748508084,641333000,PositionalError,9.082,5.159,24.840
21,1748508084,647124000,PositionalError,8.553,5.347,25.298
22,1748508084,651510000,PositionalError,9.070,4.772,25.441
23,1748508084,655757000,PositionalError,9.566,4.856,25.063
24,1748508084,661562000,TempSpike,10.146,4.194,31.202
24,1748508084,661562000,PositionalError,10.146,4.194,31.202
25,1748508084,666816000,PositionalError,8.591,4.157,24.965
26,1748508084,671535000,PositionalError,11.105,4.491,24.635
27,1748508084,676277000,TempSpike,9.837,5.964,32.230
27,1748508084,676277000,PositionalError,9.837,5.964,32.230
28,1748508084,682172000,PositionalError,8.005,5.237,25.083
29,1748508084,686866000,PositionalError,10.131,5.074,24.871
30,1748508084,691583000,ForceSpike,19.877,5.510,24.883
30,1748508084,691583000,PositionalError,19.877,5.510,24.883
31,1748508084,696365000,ForceSpike,18.560,5.153,24.851
31,1748508084,696365000,PositionalError,18.560,5.153,24.851
32,1748508084,701168000,PositionalError,10.552,5.921,25.470
33,1748508084,707014000,PositionalError,8.270,4.363,25.404
34,1748508084,711732000,TempSpike,10.642,4.790,35.086
34,1748508084,711732000,PositionalError,10.642,4.790,35.086
35,1748508084,716558000,PositionalError,11.666,4.050,25.352
36,1748508084,721194000,PositionalError,8.503,5.065,24.678
37,1748508084,727014000,PositionalError,9.251,4.574,24.758
38,1748508084,731363000,PositionalError,9.906,4.764,24.660
39,1748508084,736234000,ForceSpike,16.394,4.068,25.196
39,1748508084,736234000,PositionalError,16.394,4.068,25.196
41,1748508084,746814000,PositionalError,10.802,4.860,25.417
42,1748508084,751743000,PositionalError,9.271,4.879,24.846
43,1748508084,756780000,TempSpike,10.402,4.236,34.497
43,1748508084,756780000,PositionalError,10.402,4.236,34.497
44,1748508084,761550000,PositionalError,11.666,5.305,24.555
45,1748508084,766235000,PositionalError,9.860,4.173,24.779
46,1748508084,772056000,TempSpike,10.820,5.251,32.884
46,1748508084,772056000,PositionalError,10.820,5.251,32.884
47,1748508084,776908000,ForceSpike,17.441,4.148,25.356
47,1748508084,776908000,PositionalError,17.441,4.148,25.356
49,1748508084,786379000,ForceSpike,19.158,5.943,24.862
49,1748508084,786379000,PositionalError,19.158,5.943,24.862
50,1748508084,791178000,PositionalError,9.075,4.241,25.418
51,1748508084,797017000,ForceSpike,20.269,5.912,25.086
51,1748508084,797017000,PositionalError,20.269,5.912,25.086
52,1748508084,801803000,PositionalError,9.373,4.713,25.377
54,1748508084,811941000,PositionalError,8.278,5.077,24.582
55,1748508084,816643000,PositionalError,9.577,5.996,25.463
56,1748508084,821312000,PositionalError,9.241,5.046,24.521
57,1748508084,826576000,PositionalError,8.294,5.420,25.080
58,1748508084,831287000,TempSpike,11.775,4.496,32.282
58,1748508084,831287000,PositionalError,11.775,4.496,32.282
59,1748508084,836127000,PositionalError,8.371,4.852,25.194
60,1748508084,841828000,PositionalError,9.861,4.127,25.327
61,1748508084,846544000,PositionalError,10.801,4.407,24.955
62,1748508084,851274000,PositionalError,8.977,5.681,24.597
63,1748508084,857126000,ForceSpike,17.597,5.825,25.122
63,1748508084,857126000,PositionalError,17.597,5.825,25.122
64,1748508084,861658000,PositionalError,8.204,4.101,25.103
65,1748508084,866376000,ForceSpike,17.165,4.965,24.714
65,1748508084,866376000,PositionalError,17.165,4.965,24.714
66,1748508084,871169000,PositionalError,9.182,5.492,24.574
67,1748508084,876816000,PositionalError,9.681,4.256,25.018
68,1748508084,881590000,ForceSpike,18.859,4.674,24.722
68,1748508084,881590000,PositionalError,18.859,4.674,24.722
69,1748508084,886375000,PositionalError,10.600,4.543,25.122
70,1748508084,892198000,PositionalError,9.786,5.108,24.840
71,1748508084,896876000,PositionalError,10.373,5.963,25.359
72,1748508084,901570000,PositionalError,11.059,5.525,24.989
73,1748508084,906307000,PositionalError,10.453,5.529,25.391
74,1748508084,912119000,PositionalError,8.173,5.835,24.622
75,1748508084,916866000,PositionalError,11.106,4.284,24.577
76,1748508084,921588000,PositionalError,9.730,4.823,24.885
77,1748508084,926289000,PositionalError,11.528,5.660,25.218
78,1748508084,930991000,TempSpike,10.534,4.979,34.228
78,1748508084,930991000,PositionalError,10.534,4.979,34.228
79,1748508084,936932000,ForceSpike,16.800,5.585,24.776
79,1748508084,936932000,PositionalError,16.800,5.585,24.776
80,1748508084,941903000,TempSpike,11.309,4.730,35.669
80,1748508084,941903000,PositionalError,11.309,4.730,35.669
81,1748508084,946892000,PositionalError,10.438,4.066,24.669
82,1748508084,951612000,PositionalError,9.934,4.493,25.065
83,1748508084,956334000,PositionalError,8.637,4.465,25.063
84,1748508084,962175000,PositionalError,9.531,4.775,24.558
86,1748508084,971489000,ForceSpike,20.965,4.760,25.163
86,1748508084,971489000,PositionalError,20.965,4.760,25.163
88,1748508084,982030000,PositionalError,9.996,5.759,25.051
89,1748508084,987017000,PositionalError,8.078,5.113,24.761
90,1748508084,991709000,PositionalError,10.505,4.883,25.400
92,1748508085,2188000,PositionalError,8.594,4.578,25.165
93,1748508085,6894000,PositionalError,10.217,5.102,25.487
94,1748508085,11320000,PositionalError,9.665,4.995,25.357
95,1748508085,17077000,PositionalError,11.194,4.165,24.662
96,1748508085,21695000,PositionalError,11.980,5.259,24.663
97,1748508085,26374000,PositionalError,10.695,5.141,25.135
98,1748508085,32262000,PositionalError,8.019,5.196,25.135
99,1748508085,36072000,PositionalError,11.796,5.811,25.200
100,1748508085,42034000,PositionalError,8.507,4.553,24.707
101,1748508085,47121000,ForceSpike,17.907,4.016,24.772
101,1748508085,47121000,PositionalError,17.907,4.016,24.772
102,1748508085,51974000,PositionalError,8.961,4.555,24.832
103,1748508085,56775000,PositionalError,10.139,4.159,25.256
104,1748508085,61596000,PositionalError,11.559,4.284,24.689
105,1748508085,66213000,PositionalError,11.158,5.690,25.430
106,1748508085,72071000,PositionalError,11.334,4.527,25.320
107,1748508085,76772000,PositionalError,8.899,5.125,25.461
108,1748508085,81494000,PositionalError,10.638,4.443,25.003
109,1748508085,86177000,PositionalError,11.160,5.105,24.596
110,1748508085,91974000,PositionalError,8.790,4.012,24.686
111,1748508085,96697000,PositionalError,10.696,4.982,24.719
112,1748508085,101420000,TempSpike,11.147,5.454,34.449
112,1748508085,101420000,PositionalError,11.147,5.454,34.449
113,1748508085,106207000,PositionalError,10.392,4.620,24.616
