PacketID,SensorGenTime_ms,ProcessingTime_ms,TransmissionTime_ms
1,0.790,0.189,0.262
2,0.111,0.003,0.103
3,0.002,0.002,0.085
4,0.002,0.002,0.081
5,0.001,0.002,0.081
6,0.001,0.002,0.076
7,0.005,0.013,0.142
8,0.002,0.004,0.203
9,0.001,0.003,0.132
10,0.001,0.002,0.072
11,0.001,0.002,0.078
12,0.002,0.003,0.072
13,0.002,0.002,0.070
14,0.001,0.002,0.071
15,0.001,0.002,0.070
16,0.001,0.003,0.070
17,0.002,0.002,0.069
18,0.001,0.002,0.071
19,0.038,0.009,0.073
20,0.001,0.002,0.068
21,0.001,0.006,0.069
22,0.001,0.004,0.068
23,0.001,0.002,0.066
24,0.053,0.001,0.086
25,0.001,0.002,0.091
26,0.001,0.002,0.190
27,0.003,0.002,0.286
28,0.001,0.002,0.103
29,0.001,0.002,0.089
30,0.001,0.002,0.079
31,0.002,0.002,0.084
32,0.001,0.002,0.071
33,0.001,0.002,0.083
34,0.001,0.002,0.133
35,0.001,0.002,0.075
36,0.001,0.001,0.084
37,0.001,0.002,0.071
38,0.001,0.002,0.082
39,0.001,0.001,0.077
40,0.002,0.002,0.081
41,0.001,0.002,0.076
42,0.001,0.001,0.069
43,0.001,0.001,0.066
44,0.001,0.001,0.115
45,0.002,0.002,0.081
46,0.002,0.001,0.075
47,0.001,0.002,0.147
48,0.065,0.006,0.157
49,0.033,0.002,0.076
50,0.002,0.001,0.069
51,0.003,0.005,0.323
52,0.001,0.002,0.079
53,0.001,0.002,0.090
54,0.001,0.002,0.091
55,0.002,0.002,0.077
56,0.001,0.001,0.070
57,0.001,0.002,0.205
58,0.001,0.002,0.077
59,0.034,0.001,0.132
60,0.001,0.001,0.071
61,0.001,0.002,0.074
62,0.001,0.002,0.074
63,0.001,0.002,0.065
64,0.003,0.002,0.070
65,0.002,0.002,0.087
66,0.001,0.002,0.068
67,0.001,0.001,0.092
68,0.004,0.002,0.259
69,0.001,0.002,0.087
70,0.001,0.010,0.252
71,0.001,0.002,0.121
72,0.001,0.002,0.089
73,0.003,0.025,0.181
74,0.064,0.004,0.153
75,0.002,0.004,0.159
76,0.001,0.002,0.081
77,0.001,0.002,0.183
78,0.003,0.007,0.282
79,0.056,0.007,0.179
80,0.005,0.004,0.168
81,0.005,0.008,0.211
82,0.005,0.009,0.301
83,0.004,0.006,0.217
84,0.004,0.006,0.198
85,0.002,0.004,0.150
86,0.007,0.008,0.248
87,0.006,0.007,0.255
88,0.005,0.009,0.301
89,0.005,0.008,1.418
90,0.005,0.008,0.221
91,0.004,0.006,0.216
92,0.004,0.007,0.241
93,0.004,0.006,0.198
94,0.005,0.008,0.221
95,0.004,0.006,0.220
96,0.013,0.011,0.359
97,0.006,0.009,0.309
98,0.006,0.009,0.320
99,0.005,0.009,0.779
100,0.006,0.008,0.290
101,0.006,0.009,0.310
102,0.005,0.052,0.411
103,0.006,0.011,0.386
104,0.006,0.007,0.224
105,0.084,0.004,0.233
106,0.051,0.003,0.159
107,0.005,0.003,0.215
108,0.005,0.009,0.427
109,0.004,0.009,0.720
110,0.007,0.006,0.191
111,0.005,0.008,0.300
112,0.003,0.004,0.333
113,0.003,0.004,0.174
114,0.005,0.004,0.146
115,0.004,0.005,0.178
116,0.005,0.004,0.151
117,0.005,0.009,0.229
118,0.005,0.008,0.287
119,0.004,0.006,0.182
120,0.003,0.005,0.176
121,0.004,0.005,0.192
122,0.003,0.005,0.181
123,0.027,0.008,0.233
124,0.004,0.006,0.188
125,0.005,0.008,0.278
126,0.006,0.009,0.274
127,0.005,0.008,0.216
128,0.006,0.006,0.197
129,0.008,0.010,0.879
130,0.005,0.008,0.304
131,0.005,0.007,0.215
132,0.005,0.009,0.255
133,0.071,0.006,0.193
134,0.006,0.008,0.241
135,0.005,0.006,0.206
136,0.085,0.005,0.255
137,0.007,0.010,1.623
138,0.007,0.019,0.319
139,0.006,0.044,0.418
140,0.004,0.007,0.230
141,0.007,0.011,0.429
142,0.005,0.008,0.290
143,0.004,0.011,0.351
144,0.005,0.008,0.309
145,0.005,0.008,0.299
146,0.006,0.010,0.320
147,0.007,0.009,0.304
148,0.005,0.008,0.485
149,0.004,0.007,0.458
150,0.005,0.009,3.018
151,0.004,0.005,0.780
152,0.005,0.007,0.247
153,0.006,0.008,0.185
154,0.006,0.006,0.199
155,0.004,0.006,0.278
156,0.004,0.008,0.236
157,0.006,0.008,0.321
158,0.005,0.008,0.344
159,0.006,0.010,0.464
160,0.005,0.007,0.277
161,0.005,0.016,0.295
162,0.005,0.007,0.197
163,0.006,0.007,0.387
164,0.114,0.008,0.290
165,0.006,0.009,0.364
166,0.025,0.010,0.321
167,0.126,0.009,0.319
168,0.006,0.009,0.318
169,0.007,0.010,0.339
170,0.005,0.009,1.190
171,0.039,0.007,0.315
172,0.005,0.007,0.158
173,0.003,0.006,0.133
174,0.002,0.003,0.114
175,0.005,0.006,0.181
176,0.004,0.006,0.194
177,0.004,0.007,0.859
178,0.006,0.006,0.391
179,0.003,0.004,0.107
180,0.002,0.003,0.098
181,0.002,0.002,0.082
182,0.007,0.007,0.166
183,0.006,0.004,0.171
184,0.003,0.004,0.148
185,0.005,0.004,0.158
186,0.004,0.007,0.212
187,0.006,0.008,0.253
188,0.005,0.007,0.266
189,0.005,0.009,0.262
190,0.005,0.008,0.394
191,0.005,0.008,0.328
192,0.005,0.004,0.235
193,0.069,0.008,0.235
194,0.065,0.006,0.175
195,0.002,0.004,0.178
196,0.005,0.009,0.292
197,0.004,0.004,0.230
198,0.003,0.005,0.151
199,0.008,0.010,0.309
200,0.006,0.009,0.323
